fecha_utc,tienda,tipo,pagina,url,metodo,http_status,bytes,titulo,productos,motivo,archivo_html
2026-09-26T11:43:15.977942+00:00,Dix Razer,playwright,1,https://dixgamer.com/categoria-producto/tarjetas/razer-gold/,playwright,403,4677,Attention Required! | Cloudflare,,HTTP 403,cuarentena_raw/dix_razer/p1_playwright_http403.html
2026-09-26T11:43:15.977973+00:00,Dix Razer,RESUMEN,,,,,,,0,SIN PRODUCTOS / REQUIERE PARSER,
2026-09-26T11:43:16.021566+00:00,Dix Steam,woocommerce,1,https://dixgamer.com/categoria-producto/tarjetas/steam/,requests,403,4546,Attention Required! | Cloudflare,,HTTP 403,cuarentena_raw/dix_steam/p1_http403.html
2026-09-26T11:43:20.060933+00:00,Dix Steam,playwright,1,https://dixgamer.com/categoria-producto/tarjetas/steam/,playwright,403,4677,Attention Required! | Cloudflare,,HTTP 403,cuarentena_raw/dix_steam/p1_playwright_http403.html
2026-09-26T11:43:20.060968+00:00,Dix Steam,RESUMEN,,,,,,,0,SIN PRODUCTOS / REQUIERE PARSER,
2026-09-26T11:43:20.098496+00:00,Dix Xbox,woocommerce,1,https://dixgamer.com/categoria-producto/tarjetas/xbox/,requests,403,4546,Attention Required! | Cloudflare,,HTTP 403,cuarentena_raw/dix_xbox/p1_http403.html
2026-09-26T11:43:24.137471+00:00,Dix Xbox,playwright,1,https://dixgamer.com/categoria-producto/tarjetas/xbox/,playwright,403,4677,Attention Required! | Cloudflare,,HTTP 403,cuarentena_raw/dix_xbox/p1_playwright_http403.html
2026-09-26T11:43:24.137503+00:00,Dix Xbox,RESUMEN,,,,,,,0,SIN PRODUCTOS / REQUIERE PARSER,
2026-09-26T11:43:28.614223+00:00,JDP4P5 Nintendo Online,jdp4p5,1,https://juegosdigitalesps4ps5.com/suscripcion-nintendo-online/,playwright,404,493563,,,HTTP 404,cuarentena_raw/jdp4p5_nintendo_online/p1_playwright_http404.html
2026-09-26T11:43:28.614261+00:00,JDP4P5 Nintendo Online,RESUMEN,,,,,,,0,SIN PRODUCTOS / REQUIERE PARSER,
2026-09-26T11:43:33.004456+00:00,JDP4P5 Switch,jdp4p5,1,https://juegosdigitalesps4ps5.com/juegos-nintendo/,playwright,404,493495,,,HTTP 404,cuarentena_raw/jdp4p5_switch/p1_playwright_http404.html
2026-09-26T11:43:33.004498+00:00,JDP4P5 Switch,RESUMEN,,,,,,,0,SIN PRODUCTOS / REQUIERE PARSER,
2026-09-26T11:43:33.922012+00:00,MDQ PSN Card,woocommerce,1,https://mdqstore.com/categoria-producto/psn-card/,requests,200,149910,PSN CARD – Mdqstore,,,cuarentena_raw/mdq_psn_card/p1_http200.html
2026-09-26T11:43:34.549254+00:00,MDQ PSN Card,woocommerce,2,https://mdqstore.com/categoria-producto/psn-card/page/2/,requests,404,138778,No se encontró la página – Mdqstore,,HTTP 404,cuarentena_raw/mdq_psn_card/p2_http404.html
2026-09-26T11:43:39.469525+00:00,MDQ PSN Card,playwright,1,https://mdqstore.com/categoria-producto/psn-card/,playwright,200,153562,PSN CARD – Mdqstore,,,cuarentena_raw/mdq_psn_card/p1_playwright_http200.html
2026-09-26T11:43:43.979864+00:00,MDQ PSN Card,playwright,2,https://mdqstore.com/categoria-producto/psn-card/page/2/,playwright,404,141913,No se encontró la página – Mdqstore,,HTTP 404,cuarentena_raw/mdq_psn_card/p2_playwright_http404.html
2026-09-26T11:43:44.058690+00:00,MDQ PSN Card,RESUMEN,,,,,,,0,SIN PRODUCTOS / REQUIERE PARSER,
2026-09-26T11:43:48.345743+00:00,PortalGames PS3,playwright,1,https://portalgames.com.ar/product-category/juegos-ps3/,playwright,403,28685,Un momento…,,HTTP 403,cuarentena_raw/portalgames_ps3/p1_playwright_http403.html
2026-09-26T11:43:48.345781+00:00,PortalGames PS3,RESUMEN,,,,,,,0,SIN PRODUCTOS / REQUIERE PARSER,
2026-09-26T11:43:53.452366+00:00,PortalGames PS4,playwright,1,https://portalgames.com.ar/product-category/juegos-ps4/,playwright,200,307468,Juegos PS4 archivos - Portal Games,,,cuarentena_raw/portalgames_ps4/p1_playwright_http200.html
2026-09-26T11:43:57.603019+00:00,PortalGames PS4,playwright,2,https://portalgames.com.ar/product-category/juegos-ps4/page/2/,playwright,403,28710,Un momento…,,HTTP 403,cuarentena_raw/portalgames_ps4/p2_playwright_http403.html
2026-09-26T11:43:57.921124+00:00,PortalGames PS4,RESUMEN,,,,,,,23,RECUPERADA,
2026-09-26T11:44:01.973109+00:00,PortalGames PS5,playwright,1,https://portalgames.com.ar/product-category/juegos-ps5/,playwright,403,28668,Un momento…,,HTTP 403,cuarentena_raw/portalgames_ps5/p1_playwright_http403.html
2026-09-26T11:44:01.973165+00:00,PortalGames PS5,RESUMEN,,,,,,,0,SIN PRODUCTOS / REQUIERE PARSER,
2026-09-26T11:44:06.012586+00:00,PortalGames Switch,playwright,1,https://portalgames.com.ar/product-category/nintendo-switch/,playwright,403,28704,Un momento…,,HTTP 403,cuarentena_raw/portalgames_switch/p1_playwright_http403.html
2026-09-26T11:44:06.012625+00:00,PortalGames Switch,RESUMEN,,,,,,,0,SIN PRODUCTOS / REQUIERE PARSER,
2026-09-26T11:44:11.704096+00:00,TodoDigital PS4,playwright,1,https://tododigitalshop.com/juegos-digitales-ps4/,playwright,200,421932,Juegos Digitales PS4 Baratos al Mejor Precio | TodoDigitalShop,,,cuarentena_raw/tododigital_ps4/p1_playwright_http200.html
2026-09-26T11:44:17.602114+00:00,TodoDigital PS4,playwright,2,https://tododigitalshop.com/juegos-digitales-ps4/page/2/,playwright,200,410127,Juegos Digitales PS4 Baratos al Mejor Precio | TodoDigitalShop,,,cuarentena_raw/tododigital_ps4/p2_playwright_http200.html
2026-09-26T11:44:23.225893+00:00,TodoDigital PS4,playwright,3,https://tododigitalshop.com/juegos-digitales-ps4/page/3/,playwright,200,388096,Juegos Digitales PS4 Baratos al Mejor Precio | TodoDigitalShop,,,cuarentena_raw/tododigital_ps4/p3_playwright_http200.html
2026-09-26T11:44:29.129932+00:00,TodoDigital PS4,playwright,4,https://tododigitalshop.com/juegos-digitales-ps4/page/4/,playwright,404,331055,Page Not Found | TodoDigitalShop,,HTTP 404,cuarentena_raw/tododigital_ps4/p4_playwright_http404.html
2026-09-26T11:44:29.478788+00:00,TodoDigital PS4,RESUMEN,,,,,,,39,RECUPERADA,
2026-09-26T11:44:35.480568+00:00,TodoDigital PS5,playwright,1,https://tododigitalshop.com/juegos-digitales-ps5/,playwright,200,416049,Juegos Digitales PS5 Baratos al Mejor Precio | TodoDigitalShop,,,cuarentena_raw/tododigital_ps5/p1_playwright_http200.html
2026-09-26T11:44:41.139153+00:00,TodoDigital PS5,playwright,2,https://tododigitalshop.com/juegos-digitales-ps5/page/2/,playwright,200,408496,Juegos Digitales PS5 Baratos al Mejor Precio | TodoDigitalShop,,,cuarentena_raw/tododigital_ps5/p2_playwright_http200.html
2026-09-26T11:44:46.797921+00:00,TodoDigital PS5,playwright,3,https://tododigitalshop.com/juegos-digitales-ps5/page/3/,playwright,200,407847,Juegos Digitales PS5 Baratos al Mejor Precio | TodoDigitalShop,,,cuarentena_raw/tododigital_ps5/p3_playwright_http200.html
2026-09-26T11:44:52.439401+00:00,TodoDigital PS5,playwright,4,https://tododigitalshop.com/juegos-digitales-ps5/page/4/,playwright,200,407190,Juegos Digitales PS5 Baratos al Mejor Precio | TodoDigitalShop,,,cuarentena_raw/tododigital_ps5/p4_playwright_http200.html
2026-09-26T11:44:58.246517+00:00,TodoDigital PS5,playwright,5,https://tododigitalshop.com/juegos-digitales-ps5/page/5/,playwright,200,406415,Juegos Digitales PS5 Baratos al Mejor Precio | TodoDigitalShop,,,cuarentena_raw/tododigital_ps5/p5_playwright_http200.html
2026-09-26T11:45:03.886374+00:00,TodoDigital PS5,playwright,6,https://tododigitalshop.com/juegos-digitales-ps5/page/6/,playwright,200,406005,Juegos Digitales PS5 Baratos al Mejor Precio | TodoDigitalShop,,,cuarentena_raw/tododigital_ps5/p6_playwright_http200.html
2026-09-26T11:45:10.338837+00:00,TodoDigital PS5,playwright,7,https://tododigitalshop.com/juegos-digitales-ps5/page/7/,playwright,200,406214,Juegos Digitales PS5 Baratos al Mejor Precio | TodoDigitalShop,,,cuarentena_raw/tododigital_ps5/p7_playwright_http200.html
2026-09-26T11:45:16.292362+00:00,TodoDigital PS5,playwright,8,https://tododigitalshop.com/juegos-digitales-ps5/page/8/,playwright,200,406946,Juegos Digitales PS5 Baratos al Mejor Precio | TodoDigitalShop,,,cuarentena_raw/tododigital_ps5/p8_playwright_http200.html
2026-09-26T11:45:22.092917+00:00,TodoDigital PS5,playwright,9,https://tododigitalshop.com/juegos-digitales-ps5/page/9/,playwright,200,406509,Juegos Digitales PS5 Baratos al Mejor Precio | TodoDigitalShop,,,cuarentena_raw/tododigital_ps5/p9_playwright_http200.html
2026-09-26T11:45:28.197149+00:00,TodoDigital PS5,playwright,10,https://tododigitalshop.com/juegos-digitales-ps5/page/10/,playwright,200,397631,Juegos Digitales PS5 Baratos al Mejor Precio | TodoDigitalShop,,,cuarentena_raw/tododigital_ps5/p10_playwright_http200.html
2026-09-26T11:45:33.882715+00:00,TodoDigital PS5,playwright,11,https://tododigitalshop.com/juegos-digitales-ps5/page/11/,playwright,404,331096,Page Not Found | TodoDigitalShop,,HTTP 404,cuarentena_raw/tododigital_ps5/p11_playwright_http404.html
2026-09-26T11:45:35.141475+00:00,TodoDigital PS5,RESUMEN,,,,,,,152,RECUPERADA,
2026-09-26T11:45:39.516498+00:00,TodoDigital Switch,playwright,1,https://tododigitalshop.com/juegos-digitales-nintendo-switch/,playwright,200,362334,Juegos Digitales Nintendo Switch | TodoDigitalShop,,,cuarentena_raw/tododigital_switch/p1_playwright_http200.html
2026-09-26T11:45:44.920583+00:00,TodoDigital Switch,playwright,2,https://tododigitalshop.com/juegos-digitales-nintendo-switch/page/2/,playwright,404,331143,Page Not Found | TodoDigitalShop,,HTTP 404,cuarentena_raw/tododigital_switch/p2_playwright_http404.html
2026-09-26T11:45:44.988396+00:00,TodoDigital Switch,RESUMEN,,,,,,,3,RECUPERADA,
2026-09-26T11:45:51.255686+00:00,UruguayDigital GamePass,uruguaydigital,1,https://juegosdigitalesuruguay.com/categorias/membresias-xbox,playwright,200,229958,"Juegos Digitales Uruguay | PS5, PS4, Xbox y Switch Baratos",,,cuarentena_raw/uruguaydigital_gamepass/p1_playwright_http200.html
2026-09-26T11:45:56.148962+00:00,UruguayDigital GamePass,uruguaydigital,2,https://juegosdigitalesuruguay.com/categorias/membresias-xbox?pagina=2,playwright,200,230058,"Juegos Digitales Uruguay | PS5, PS4, Xbox y Switch Baratos",,,cuarentena_raw/uruguaydigital_gamepass/p2_playwright_http200.html
2026-09-26T11:46:01.051587+00:00,UruguayDigital GamePass,uruguaydigital,3,https://juegosdigitalesuruguay.com/categorias/membresias-xbox?pagina=3,playwright,200,230095,"Juegos Digitales Uruguay | PS5, PS4, Xbox y Switch Baratos",,,cuarentena_raw/uruguaydigital_gamepass/p3_playwright_http200.html
2026-09-26T11:46:05.998918+00:00,UruguayDigital GamePass,uruguaydigital,4,https://juegosdigitalesuruguay.com/categorias/membresias-xbox?pagina=4,playwright,200,230100,"Juegos Digitales Uruguay | PS5, PS4, Xbox y Switch Baratos",,,cuarentena_raw/uruguaydigital_gamepass/p4_playwright_http200.html
2026-09-26T11:46:10.985212+00:00,UruguayDigital GamePass,uruguaydigital,5,https://juegosdigitalesuruguay.com/categorias/membresias-xbox?pagina=5,playwright,200,230095,"Juegos Digitales Uruguay | PS5, PS4, Xbox y Switch Baratos",,,cuarentena_raw/uruguaydigital_gamepass/p5_playwright_http200.html
2026-09-26T11:46:15.911673+00:00,UruguayDigital GamePass,uruguaydigital,6,https://juegosdigitalesuruguay.com/categorias/membresias-xbox?pagina=6,playwright,200,230100,"Juegos Digitales Uruguay | PS5, PS4, Xbox y Switch Baratos",,,cuarentena_raw/uruguaydigital_gamepass/p6_playwright_http200.html
2026-09-26T11:46:20.886317+00:00,UruguayDigital GamePass,uruguaydigital,7,https://juegosdigitalesuruguay.com/categorias/membresias-xbox?pagina=7,playwright,200,230095,"Juegos Digitales Uruguay | PS5, PS4, Xbox y Switch Baratos",,,cuarentena_raw/uruguaydigital_gamepass/p7_playwright_http200.html
2026-09-26T11:46:25.860696+00:00,UruguayDigital GamePass,uruguaydigital,8,https://juegosdigitalesuruguay.com/categorias/membresias-xbox?pagina=8,playwright,200,230095,"Juegos Digitales Uruguay | PS5, PS4, Xbox y Switch Baratos",,,cuarentena_raw/uruguaydigital_gamepass/p8_playwright_http200.html
2026-09-26T11:46:30.904680+00:00,UruguayDigital GamePass,uruguaydigital,9,https://juegosdigitalesuruguay.com/categorias/membresias-xbox?pagina=9,playwright,200,230095,"Juegos Digitales Uruguay | PS5, PS4, Xbox y Switch Baratos",,,cuarentena_raw/uruguaydigital_gamepass/p9_playwright_http200.html
2026-09-26T11:46:35.847633+00:00,UruguayDigital GamePass,uruguaydigital,10,https://juegosdigitalesuruguay.com/categorias/membresias-xbox?pagina=10,playwright,200,230095,"Juegos Digitales Uruguay | PS5, PS4, Xbox y Switch Baratos",,,cuarentena_raw/uruguaydigital_gamepass/p10_playwright_http200.html
2026-09-26T11:46:40.746624+00:00,UruguayDigital GamePass,uruguaydigital,11,https://juegosdigitalesuruguay.com/categorias/membresias-xbox?pagina=11,playwright,200,230043,"Juegos Digitales Uruguay | PS5, PS4, Xbox y Switch Baratos",,,cuarentena_raw/uruguaydigital_gamepass/p11_playwright_http200.html
2026-09-26T11:46:45.803713+00:00,UruguayDigital GamePass,uruguaydigital,12,https://juegosdigitalesuruguay.com/categorias/membresias-xbox?pagina=12,playwright,200,230095,"Juegos Digitales Uruguay | PS5, PS4, Xbox y Switch Baratos",,,cuarentena_raw/uruguaydigital_gamepass/p12_playwright_http200.html
2026-09-26T11:46:50.771918+00:00,UruguayDigital GamePass,uruguaydigital,13,https://juegosdigitalesuruguay.com/categorias/membresias-xbox?pagina=13,playwright,200,230095,"Juegos Digitales Uruguay | PS5, PS4, Xbox y Switch Baratos",,,cuarentena_raw/uruguaydigital_gamepass/p13_playwright_http200.html
2026-09-26T11:46:55.751178+00:00,UruguayDigital GamePass,uruguaydigital,14,https://juegosdigitalesuruguay.com/categorias/membresias-xbox?pagina=14,playwright,200,230095,"Juegos Digitales Uruguay | PS5, PS4, Xbox y Switch Baratos",,,cuarentena_raw/uruguaydigital_gamepass/p14_playwright_http200.html
2026-09-26T11:47:00.686200+00:00,UruguayDigital GamePass,uruguaydigital,15,https://juegosdigitalesuruguay.com/categorias/membresias-xbox?pagina=15,playwright,200,230095,"Juegos Digitales Uruguay | PS5, PS4, Xbox y Switch Baratos",,,cuarentena_raw/uruguaydigital_gamepass/p15_playwright_http200.html
2026-09-26T11:47:05.738956+00:00,UruguayDigital GamePass,uruguaydigital,16,https://juegosdigitalesuruguay.com/categorias/membresias-xbox?pagina=16,playwright,200,230095,"Juegos Digitales Uruguay | PS5, PS4, Xbox y Switch Baratos",,,cuarentena_raw/uruguaydigital_gamepass/p16_playwright_http200.html
2026-09-26T11:47:10.674212+00:00,UruguayDigital GamePass,uruguaydigital,17,https://juegosdigitalesuruguay.com/categorias/membresias-xbox?pagina=17,playwright,200,230098,"Juegos Digitales Uruguay | PS5, PS4, Xbox y Switch Baratos",,,cuarentena_raw/uruguaydigital_gamepass/p17_playwright_http200.html
2026-09-26T11:47:15.581447+00:00,UruguayDigital GamePass,uruguaydigital,18,https://juegosdigitalesuruguay.com/categorias/membresias-xbox?pagina=18,playwright,200,230128,"Juegos Digitales Uruguay | PS5, PS4, Xbox y Switch Baratos",,,cuarentena_raw/uruguaydigital_gamepass/p18_playwright_http200.html
2026-09-26T11:47:20.484642+00:00,UruguayDigital GamePass,uruguaydigital,19,https://juegosdigitalesuruguay.com/categorias/membresias-xbox?pagina=19,playwright,200,230098,"Juegos Digitales Uruguay | PS5, PS4, Xbox y Switch Baratos",,,cuarentena_raw/uruguaydigital_gamepass/p19_playwright_http200.html
2026-09-26T11:47:25.476871+00:00,UruguayDigital GamePass,uruguaydigital,20,https://juegosdigitalesuruguay.com/categorias/membresias-xbox?pagina=20,playwright,200,230128,"Juegos Digitales Uruguay | PS5, PS4, Xbox y Switch Baratos",,,cuarentena_raw/uruguaydigital_gamepass/p20_playwright_http200.html
2026-09-26T11:47:30.449004+00:00,UruguayDigital GamePass,uruguaydigital,21,https://juegosdigitalesuruguay.com/categorias/membresias-xbox?pagina=21,playwright,200,230058,"Juegos Digitales Uruguay | PS5, PS4, Xbox y Switch Baratos",,,cuarentena_raw/uruguaydigital_gamepass/p21_playwright_http200.html
2026-09-26T11:47:35.373073+00:00,UruguayDigital GamePass,uruguaydigital,22,https://juegosdigitalesuruguay.com/categorias/membresias-xbox?pagina=22,playwright,200,230043,"Juegos Digitales Uruguay | PS5, PS4, Xbox y Switch Baratos",,,cuarentena_raw/uruguaydigital_gamepass/p22_playwright_http200.html
2026-09-26T11:47:40.374084+00:00,UruguayDigital GamePass,uruguaydigital,23,https://juegosdigitalesuruguay.com/categorias/membresias-xbox?pagina=23,playwright,200,229994,"Juegos Digitales Uruguay | PS5, PS4, Xbox y Switch Baratos",,,cuarentena_raw/uruguaydigital_gamepass/p23_playwright_http200.html
